[NanoDet][08-25 19:47:19]INFO: Setting up data...
[NanoDet][08-25 19:47:19]INFO: Creating model...
[NanoDet][08-25 19:47:19]INFO: 使用 CPU 进行训练
[NanoDet][08-25 19:50:19]INFO: Train|Epoch13/300|Iter1200(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0457| loss_bbox:0.8035| loss_dfl:0.3519| aux_loss_qfl:0.3713| aux_loss_bbox:1.1927| aux_loss_dfl:0.4071| loss_feat_kd:15.5335| loss_cls_kd:0.0000| loss_reg_kd:0.1023| 
[NanoDet][08-25 19:50:27]INFO: Train|Epoch13/300|Iter1250(51)| mem:0G| lr:7.00e-02| loss_qfl:1.1526| loss_bbox:0.7688| loss_dfl:0.3671| aux_loss_qfl:0.6945| aux_loss_bbox:1.0489| aux_loss_dfl:0.4063| loss_feat_kd:11.6245| loss_cls_kd:0.0000| loss_reg_kd:0.0981| 
[NanoDet][08-25 19:50:34]INFO: Train|Epoch14/300|Iter1300(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0092| loss_bbox:0.8422| loss_dfl:0.3549| aux_loss_qfl:0.5266| aux_loss_bbox:1.1410| aux_loss_dfl:0.4063| loss_feat_kd:15.1799| loss_cls_kd:0.0000| loss_reg_kd:0.1000| 
[NanoDet][08-25 19:50:41]INFO: Train|Epoch14/300|Iter1350(51)| mem:0G| lr:7.00e-02| loss_qfl:0.6740| loss_bbox:1.1869| loss_dfl:0.3584| aux_loss_qfl:0.4056| aux_loss_bbox:1.3907| aux_loss_dfl:0.4051| loss_feat_kd:14.4358| loss_cls_kd:0.0000| loss_reg_kd:0.1044| 
[NanoDet][08-25 19:50:48]INFO: Train|Epoch15/300|Iter1400(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0224| loss_bbox:0.8490| loss_dfl:0.3686| aux_loss_qfl:0.4782| aux_loss_bbox:1.1444| aux_loss_dfl:0.4045| loss_feat_kd:18.4712| loss_cls_kd:0.0000| loss_reg_kd:0.1101| 
[NanoDet][08-25 19:50:57]INFO: Train|Epoch15/300|Iter1450(51)| mem:0G| lr:7.00e-02| loss_qfl:0.8177| loss_bbox:0.8837| loss_dfl:0.3352| aux_loss_qfl:0.3694| aux_loss_bbox:1.2055| aux_loss_dfl:0.4051| loss_feat_kd:14.7182| loss_cls_kd:0.0000| loss_reg_kd:0.0942| 
[NanoDet][08-25 19:51:12]INFO: Train|Epoch16/300|Iter1500(1)| mem:0G| lr:7.00e-02| loss_qfl:1.2872| loss_bbox:0.6753| loss_dfl:0.3675| aux_loss_qfl:0.7240| aux_loss_bbox:0.9657| aux_loss_dfl:0.4051| loss_feat_kd:11.2743| loss_cls_kd:0.0000| loss_reg_kd:0.0892| 
[NanoDet][08-25 19:51:19]INFO: Train|Epoch16/300|Iter1550(51)| mem:0G| lr:7.00e-02| loss_qfl:1.2728| loss_bbox:0.7204| loss_dfl:0.3382| aux_loss_qfl:0.3986| aux_loss_bbox:1.1861| aux_loss_dfl:0.4080| loss_feat_kd:19.7527| loss_cls_kd:0.0000| loss_reg_kd:0.0955| 
[NanoDet][08-25 19:51:25]INFO: Train|Epoch17/300|Iter1600(1)| mem:0G| lr:7.00e-02| loss_qfl:1.2699| loss_bbox:0.7427| loss_dfl:0.3602| aux_loss_qfl:0.5933| aux_loss_bbox:1.0627| aux_loss_dfl:0.4078| loss_feat_kd:9.6019| loss_cls_kd:0.0000| loss_reg_kd:0.0903| 
[NanoDet][08-25 19:51:31]INFO: Train|Epoch17/300|Iter1650(51)| mem:0G| lr:7.00e-02| loss_qfl:0.9977| loss_bbox:0.8393| loss_dfl:0.3429| aux_loss_qfl:0.4632| aux_loss_bbox:1.1663| aux_loss_dfl:0.4027| loss_feat_kd:13.5083| loss_cls_kd:0.0000| loss_reg_kd:0.0919| 
[NanoDet][08-25 19:51:37]INFO: Train|Epoch18/300|Iter1700(1)| mem:0G| lr:7.00e-02| loss_qfl:0.9259| loss_bbox:0.8418| loss_dfl:0.3626| aux_loss_qfl:0.5321| aux_loss_bbox:1.1152| aux_loss_dfl:0.4087| loss_feat_kd:14.4565| loss_cls_kd:0.0000| loss_reg_kd:0.0929| 
[NanoDet][08-25 19:51:43]INFO: Train|Epoch18/300|Iter1750(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0373| loss_bbox:0.8187| loss_dfl:0.3399| aux_loss_qfl:0.6108| aux_loss_bbox:1.1334| aux_loss_dfl:0.4032| loss_feat_kd:13.5370| loss_cls_kd:0.0000| loss_reg_kd:0.0862| 
[NanoDet][08-25 19:51:49]INFO: Train|Epoch19/300|Iter1800(1)| mem:0G| lr:7.00e-02| loss_qfl:1.1775| loss_bbox:0.7207| loss_dfl:0.3300| aux_loss_qfl:0.4872| aux_loss_bbox:1.1244| aux_loss_dfl:0.4015| loss_feat_kd:15.2238| loss_cls_kd:0.0000| loss_reg_kd:0.0962| 
[NanoDet][08-25 19:51:57]INFO: Train|Epoch19/300|Iter1850(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0520| loss_bbox:0.7709| loss_dfl:0.3635| aux_loss_qfl:0.6620| aux_loss_bbox:1.0284| aux_loss_dfl:0.4082| loss_feat_kd:12.2794| loss_cls_kd:0.0000| loss_reg_kd:0.0886| 
[NanoDet][08-25 19:52:03]INFO: Train|Epoch20/300|Iter1900(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0247| loss_bbox:0.8088| loss_dfl:0.3581| aux_loss_qfl:0.5760| aux_loss_bbox:1.0764| aux_loss_dfl:0.4057| loss_feat_kd:13.5701| loss_cls_kd:0.0000| loss_reg_kd:0.0999| 
[NanoDet][08-25 19:52:09]INFO: Train|Epoch20/300|Iter1950(51)| mem:0G| lr:7.00e-02| loss_qfl:1.1039| loss_bbox:0.7360| loss_dfl:0.3454| aux_loss_qfl:0.5702| aux_loss_bbox:1.0664| aux_loss_dfl:0.4041| loss_feat_kd:10.7554| loss_cls_kd:0.0000| loss_reg_kd:0.0823| 
[NanoDet][08-25 19:52:15]INFO: Val|Epoch20/300|Iter2000(1/13)| mem:0G| lr:7.00e-02| loss_qfl:1.2218| loss_bbox:0.7098| loss_dfl:0.3512| aux_loss_qfl:0.4665| aux_loss_bbox:1.1175| aux_loss_dfl:0.4117| 
[NanoDet][08-25 19:52:16]INFO: Val_metrics: {'mAP': 0, 'AP_50': 0, 'AP_75': 0, 'AP_small': 0, 'AP_m': 0, 'AP_l': 0}
[NanoDet][08-25 19:52:16]INFO: Train|Epoch21/300|Iter2000(1)| mem:0G| lr:7.00e-02| loss_qfl:1.1553| loss_bbox:0.7125| loss_dfl:0.3288| aux_loss_qfl:0.4979| aux_loss_bbox:1.1505| aux_loss_dfl:0.4033| loss_feat_kd:19.9361| loss_cls_kd:0.0000| loss_reg_kd:0.0930| 
[NanoDet][08-25 19:52:24]INFO: Train|Epoch21/300|Iter2050(51)| mem:0G| lr:7.00e-02| loss_qfl:0.8965| loss_bbox:0.8606| loss_dfl:0.3473| aux_loss_qfl:0.5018| aux_loss_bbox:1.1578| aux_loss_dfl:0.4047| loss_feat_kd:17.2709| loss_cls_kd:0.0000| loss_reg_kd:0.0888| 
[NanoDet][08-25 19:52:32]INFO: Train|Epoch22/300|Iter2100(1)| mem:0G| lr:7.00e-02| loss_qfl:0.7836| loss_bbox:0.9281| loss_dfl:0.3557| aux_loss_qfl:0.5091| aux_loss_bbox:1.1582| aux_loss_dfl:0.4045| loss_feat_kd:13.8200| loss_cls_kd:0.0000| loss_reg_kd:0.0843| 
[NanoDet][08-25 19:52:44]INFO: Train|Epoch22/300|Iter2150(51)| mem:0G| lr:7.00e-02| loss_qfl:1.1167| loss_bbox:0.7473| loss_dfl:0.3273| aux_loss_qfl:0.4425| aux_loss_bbox:1.1275| aux_loss_dfl:0.4030| loss_feat_kd:8.4926| loss_cls_kd:0.0000| loss_reg_kd:0.0813| 
[NanoDet][08-25 19:52:57]INFO: Train|Epoch23/300|Iter2200(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0481| loss_bbox:0.7766| loss_dfl:0.3250| aux_loss_qfl:0.2960| aux_loss_bbox:1.2650| aux_loss_dfl:0.4048| loss_feat_kd:16.1243| loss_cls_kd:0.0000| loss_reg_kd:0.0912| 
[NanoDet][08-25 19:53:03]INFO: Train|Epoch23/300|Iter2250(51)| mem:0G| lr:7.00e-02| loss_qfl:0.9311| loss_bbox:0.9682| loss_dfl:0.3531| aux_loss_qfl:0.5370| aux_loss_bbox:1.2788| aux_loss_dfl:0.4008| loss_feat_kd:11.3743| loss_cls_kd:0.0000| loss_reg_kd:0.0967| 
